variant,variant_label,grid_level,subdivision,visual_condition,visual_condition_label,n_runs,n_rows,n_parsing_failures,mean_precision,std_precision,sample_std_precision,var_precision,sample_var_precision,min_precision,max_precision,mean_recall,std_recall,sample_std_recall,var_recall,sample_var_recall,min_recall,max_recall,mean_f1,std_f1,sample_std_f1,var_f1,sample_var_f1,min_f1,max_f1,mean_tile_accuracy,std_tile_accuracy,sample_std_tile_accuracy,var_tile_accuracy,sample_var_tile_accuracy,min_tile_accuracy,max_tile_accuracy,mean_exact_match,std_exact_match,sample_std_exact_match,var_exact_match,sample_var_exact_match,min_exact_match,max_exact_match,mean_missed_tile_rate,std_missed_tile_rate,sample_std_missed_tile_rate,var_missed_tile_rate,sample_var_missed_tile_rate,min_missed_tile_rate,max_missed_tile_rate,mean_extra_tile_rate,std_extra_tile_rate,sample_std_extra_tile_rate,var_extra_tile_rate,sample_var_extra_tile_rate,min_extra_tile_rate,max_extra_tile_rate,n_batches_for_inner_batch_std,mean_inner_batch_std_precision,mean_inner_batch_std_recall,mean_inner_batch_std_f1,mean_inner_batch_std_tile_accuracy,mean_inner_batch_std_exact_match,mean_inner_batch_std_missed_tile_rate,mean_inner_batch_std_extra_tile_rate
L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations (VLM only),2,2,0,0.23809999999999998,0.09519999999999999,0.13463313113791864,0.009063039999999998,0.018126079999999996,0.1429,0.3333,0.11115,0.055549999999999995,0.07855956338982542,0.003085802499999999,0.006171604999999998,0.0556,0.1667,0.1511,0.07110000000000001,0.10055058428472707,0.005055210000000001,0.010110420000000002,0.08,0.2222,0.11115,0.055549999999999995,0.07855956338982542,0.003085802499999999,0.006171604999999998,0.0556,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88885,0.05554999999999999,0.07855956338982542,0.0030858024999999988,0.0061716049999999975,0.8333,0.9444,0.7619,0.0952,0.13463313113791867,0.009063040000000001,0.018126080000000003,0.6667,0.8571,1,0.09519999999999999,0.055549999999999995,0.07110000000000001,0.055549999999999995,0.0,0.05554999999999999,0.0952
L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations (VLM only),2,2,0,0.973,0.0,0.0,0.0,0.0,0.973,0.973,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9863,0.0,0.0,0.0,0.0,0.9863,0.9863,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.027,0.027,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations (VLM only),2,2,0,0.4648,0.4648,0.6573264637910146,0.21603904,0.43207808,0.0,0.9296,0.45205,0.45205,0.6392952408707576,0.2043492025,0.408698405,0.0,0.9041,0.45835,0.45835,0.6482047863137081,0.2100847225,0.420169445,0.0,0.9167,0.45205,0.45205,0.6392952408707576,0.2043492025,0.408698405,0.0,0.9041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54795,0.45205,0.6392952408707576,0.2043492025,0.408698405,0.0959,1.0,0.5352,0.4648,0.6573264637910146,0.21603904,0.43207808,0.0704,1.0,1,0.4648,0.45205,0.45835,0.45205,0.0,0.45205,0.4648
L0_grid,L0: Grid,0.0,1.0,grid,Grid,2,2,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9722,0.02779999999999999,0.03931513703397203,0.0007728399999999995,0.001545679999999999,0.9444,1.0,0.9857,0.01429999999999998,0.02022325394193523,0.00020448999999999942,0.00040897999999999884,0.9714,1.0,0.9722,0.02779999999999999,0.03931513703397203,0.0007728399999999995,0.001545679999999999,0.9444,1.0,0.5,0.5,0.7071067811865476,0.25,0.5,0.0,1.0,0.0278,0.0278,0.03931513703397204,0.0007728399999999999,0.0015456799999999998,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.02779999999999999,0.01429999999999998,0.02779999999999999,0.5,0.0278,0.0
L1_grid,L1: Grid,1.0,2.0,grid,Grid,2,2,0,0.8309,0.08090000000000003,0.11440987719598343,0.006544810000000005,0.01308962000000001,0.75,0.9118,0.80555,0.05554999999999999,0.07855956338982542,0.0030858024999999988,0.0061716049999999975,0.75,0.8611,0.81785,0.06785000000000002,0.09595439020701453,0.004603622500000003,0.009207245000000006,0.75,0.8857,0.80555,0.05554999999999999,0.07855956338982542,0.0030858024999999988,0.0061716049999999975,0.75,0.8611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19445,0.05555,0.07855956338982543,0.0030858025,0.006171605,0.1389,0.25,0.1691,0.0809,0.11440987719598339,0.00654481,0.01308962,0.0882,0.25,1,0.08090000000000003,0.05554999999999999,0.06785000000000002,0.05554999999999999,0.0,0.05555,0.0809
L2_grid,L2: Grid,2.0,4.0,grid,Grid,2,2,0,0.9318,0.06819999999999998,0.09644936495384505,0.0046512399999999975,0.009302479999999995,0.8636,1.0,0.14384999999999998,0.11644999999999998,0.1646851693383469,0.013560602499999996,0.027121204999999992,0.0274,0.2603,0.22665000000000002,0.17335,0.24515392103737604,0.0300502225,0.060100445,0.0533,0.4,0.14384999999999998,0.11644999999999998,0.1646851693383469,0.013560602499999996,0.027121204999999992,0.0274,0.2603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85615,0.11645,0.16468516933834693,0.0135606025,0.027121205,0.7397,0.9726,0.0682,0.0682,0.09644936495384507,0.004651239999999999,0.009302479999999998,0.0,0.1364,1,0.06819999999999998,0.11644999999999998,0.17335,0.11644999999999998,0.0,0.11645,0.0682
L0_grid_labels,L0: Grid + labels,0.0,1.0,grid_labels,Grid + labels,2,2,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9722,0.02779999999999999,0.03931513703397203,0.0007728399999999995,0.001545679999999999,0.9444,1.0,0.9857,0.01429999999999998,0.02022325394193523,0.00020448999999999942,0.00040897999999999884,0.9714,1.0,0.9722,0.02779999999999999,0.03931513703397203,0.0007728399999999995,0.001545679999999999,0.9444,1.0,0.5,0.5,0.7071067811865476,0.25,0.5,0.0,1.0,0.0278,0.0278,0.03931513703397204,0.0007728399999999999,0.0015456799999999998,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.02779999999999999,0.01429999999999998,0.02779999999999999,0.5,0.0278,0.0
L1_grid_labels,L1: Grid + labels,1.0,2.0,grid_labels,Grid + labels,2,2,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1389,0.0,0.0,0.0,0.0,0.1389,0.1389,0.2439,0.0,0.0,0.0,0.0,0.2439,0.2439,0.1389,0.0,0.0,0.0,0.0,0.1389,0.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8611,0.0,0.0,0.0,0.0,0.8611,0.8611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_grid_labels,L2: Grid + labels,2.0,4.0,grid_labels,Grid + labels,2,2,0,0.75,0.25,0.3535533905932738,0.0625,0.125,0.5,1.0,0.11645,0.006850000000000002,0.009687362902255704,4.6922500000000024e-05,9.384500000000005e-05,0.1096,0.1233,0.19765,0.00014999999999999736,0.00021213203435596054,2.249999999999921e-08,4.499999999999842e-08,0.1975,0.1978,0.11645,0.006850000000000002,0.009687362902255704,4.6922500000000024e-05,9.384500000000005e-05,0.1096,0.1233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8835500000000001,0.006849999999999967,0.009687362902255655,4.692249999999955e-05,9.38449999999991e-05,0.8767,0.8904,0.25,0.25,0.3535533905932738,0.0625,0.125,0.0,0.5,1,0.25,0.006850000000000002,0.00014999999999999736,0.006850000000000002,0.0,0.006849999999999967,0.25
