variant,variant_label,equal_dataset_mae,mean_exact_pct,mean_within_1_pct,mean_within_10_pct,n_datasets,sample_weighted_mae,rank
E6_sam3_deterministic,SAM3 mask,4.232606055014838,18.563752467530318,47.75577452361437,22.763137196459766,3,4.117216117216117,1
E7_sam3_overlay_vlm,SAM3 overlay,4.516022240594407,22.568336840212847,47.43288140123787,24.399838671714676,3,4.406593406593407,2
E2_sam2_deterministic,SAM2 mask,4.811870402764817,20.83725122149404,39.38314403280499,23.444051374306458,3,4.956043956043956,3
E4_sam2_overlay_vlm,SAM2 overlay,5.119439703553362,21.9691512878468,36.58686593785075,23.638851730553373,3,5.937728937728938,4
E1_raw_vlm,VLM,7.445872822689097,15.090226746668465,32.64662363790553,15.661026090473944,3,6.681318681318682,5
E3_imggen_deterministic,ImgGen mask,8.425262069756743,38.641554334160084,63.25890232897013,40.67755514316703,3,8.465201465201465,6
E5_imggen_overlay_vlm,ImgGen overlay,8.824070558652412,28.351317179215144,53.66684762874624,30.182819010716972,3,9.025641025641026,7
