variant,variant_label,equal_dataset_normalized_mae,mean_exact_pct,mean_within_1_pct,mean_within_10_pct,n_datasets,sample_weighted_normalized_mae,rank
E6_sam3_deterministic,SAM3 mask,55.31008306621245,18.563752467530318,47.75577452361437,22.763137196459766,3,51.742150161133004,1
E7_sam3_overlay_vlm,SAM3 overlay,56.395030007602685,22.568336840212847,47.43288140123787,24.399838671714676,3,49.8733649481822,2
E1_raw_vlm,VLM,61.570293592951565,15.090226746668465,32.64662363790553,15.661026090473944,3,44.6813689038516,3
E4_sam2_overlay_vlm,SAM2 overlay,79.83098854943479,21.9691512878468,36.58686593785075,23.638851730553373,3,95.29171092283765,4
E2_sam2_deterministic,SAM2 mask,80.88267256210185,20.83725122149404,39.38314403280499,23.444051374306458,3,80.99791288860654,5
E3_imggen_deterministic,ImgGen mask,95.47329331261528,38.641554334160084,63.25890232897013,40.67755514316703,3,93.52570847744337,6
E5_imggen_overlay_vlm,ImgGen overlay,159.07538990371248,28.351317179215144,53.66684762874624,30.182819010716972,3,137.8429796183016,7
