dataset,dataset_label,variant,variant_label,n,normalized_mae,within_1,within_10_pct,inside_gt_interval,error_score,overall_score
grid_scan_paper,Grid Scan Paper,E1_raw_vlm,Raw VLM,163,0.35962827220495935,0.6503067484662577,0.44785276073619634,0.44171779141104295,0.6403717277950407,0.5947257411981338
grid_scan_paper,Grid Scan Paper,E2_sam2_deterministic,SAM2 det.,163,0.8118465549447145,0.5030674846625767,0.20245398773006135,0.1901840490797546,0.18815344505528553,0.27045709062580225
grid_scan_paper,Grid Scan Paper,E3_imggen_deterministic,ImgGen det.,163,0.31155507750599776,0.6993865030674846,0.4539877300613497,0.44785276073619634,0.6884449224940022,0.6325660195292098
grid_scan_paper,Grid Scan Paper,E4_sam2_overlay_vlm,SAM2 + VLM,163,1.2516534760399791,0.3006134969325153,0.12269938650306748,0.1165644171779141,0.0,0.1058282208588957
grid_scan_paper,Grid Scan Paper,E5_imggen_overlay_vlm,ImgGen + VLM,163,1.1554223213732415,0.5828220858895705,0.31901840490797545,0.31901840490797545,0.0,0.22546012269938648
grid_scan_paper,Grid Scan Paper,E6_sam3_deterministic,SAM3 det.,163,0.5127526359121451,0.5766871165644172,0.26993865030674846,0.25153374233128833,0.48724736408785485,0.45528012376171884
grid_scan_paper,Grid Scan Paper,E7_sam3_overlay_vlm,SAM3 + VLM,163,0.4161078355863632,0.6196319018404908,0.3496932515337423,0.3496932515337423,0.5838921644136368,0.5342773705503767
validation_unc_luca,Luca UNC,E1_raw_vlm,Raw VLM,91,0.4874805355835877,0.06593406593406594,0.02197802197802198,0.01098901098901099,0.5125194644164123,0.2782377541862281
validation_unc_luca,Luca UNC,E2_sam2_deterministic,SAM2 det.,91,0.8071565960202625,0.3626373626373626,0.3956043956043956,0.32967032967032966,0.19284340397973754,0.2859821415503083
validation_unc_luca,Luca UNC,E3_imggen_deterministic,ImgGen det.,91,1.796317089537038,0.4175824175824176,0.38461538461538464,0.34065934065934067,0.0,0.20054945054945056
validation_unc_luca,Luca UNC,E4_sam2_overlay_vlm,SAM2 + VLM,91,0.4562689016383922,0.43956043956043955,0.42857142857142855,0.38461538461538464,0.5437310983616078,0.48889851621377095
validation_unc_luca,Luca UNC,E5_imggen_overlay_vlm,ImgGen + VLM,91,2.464489737575826,0.4835164835164835,0.46153846153846156,0.4175824175824176,0.0,0.23626373626373626
validation_unc_luca,Luca UNC,E6_sam3_deterministic,SAM3 det.,91,0.49851309751115414,0.32967032967032966,0.3076923076923077,0.25274725274725274,0.5014869024888459,0.41008411058508226
validation_unc_luca,Luca UNC,E7_sam3_overlay_vlm,SAM3 + VLM,91,0.5979499580484778,0.32967032967032966,0.32967032967032966,0.27472527472527475,0.40205004195152216,0.3658601858109259
validation_andrea_grid_scan_mirror,Andrea Mirror,E1_raw_vlm,Raw VLM,19,1.0,0.2631578947368421,0.0,0.0,0.0,0.06578947368421052
validation_andrea_grid_scan_mirror,Andrea Mirror,E2_sam2_deterministic,SAM2 det.,19,0.8074770258980785,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.19252297410192154,0.2015246449456976
validation_andrea_grid_scan_mirror,Andrea Mirror,E3_imggen_deterministic,ImgGen det.,19,0.3854010025062657,0.7368421052631579,0.3157894736842105,0.3157894736842105,0.6145989974937343,0.5704573934837093
validation_andrea_grid_scan_mirror,Andrea Mirror,E4_sam2_overlay_vlm,SAM2 + VLM,19,0.6654344193817878,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.3345655806182122,0.29886173767752716
validation_andrea_grid_scan_mirror,Andrea Mirror,E5_imggen_overlay_vlm,ImgGen + VLM,19,1.9604845446950712,0.631578947368421,0.15789473684210525,0.15789473684210525,0.0,0.19736842105263158
validation_andrea_grid_scan_mirror,Andrea Mirror,E6_sam3_deterministic,SAM3 det.,19,0.6480367585630743,0.5263157894736842,0.10526315789473684,0.05263157894736842,0.3519632414369257,0.3338763575605681
validation_andrea_grid_scan_mirror,Andrea Mirror,E7_sam3_overlay_vlm,SAM3 + VLM,19,0.6633876357560567,0.47368421052631576,0.05263157894736842,0.05263157894736842,0.33661236424394325,0.29988512949039264
