method_name,n_total,n_parsed,n_failed,n_present_samples,n_absent_samples,presence_accuracy,positive_recall,negative_abstention_accuracy,false_positive_rate_on_absent,tile_accuracy_on_present,mean_localization_error_px,mean_bbox_iou,within_tolerance_rate,parse_failure_rate
grid_scan_search,2,2,0,1,1,0.5,0.0,0.0,0.0,0.0,,,,0.0
atlas_global_search,2,2,0,1,1,1.0,1.0,1.0,0.0,0.0,70.71,0.2857,1.0,0.0
