variant,variant_label,grid_level,subdivision,visual_condition,visual_condition_label,n_runs,n_rows,n_parsing_failures,mean_precision,std_precision,sample_std_precision,var_precision,sample_var_precision,min_precision,max_precision,mean_recall,std_recall,sample_std_recall,var_recall,sample_var_recall,min_recall,max_recall,mean_f1,std_f1,sample_std_f1,var_f1,sample_var_f1,min_f1,max_f1,mean_tile_accuracy,std_tile_accuracy,sample_std_tile_accuracy,var_tile_accuracy,sample_var_tile_accuracy,min_tile_accuracy,max_tile_accuracy,mean_exact_match,std_exact_match,sample_std_exact_match,var_exact_match,sample_var_exact_match,min_exact_match,max_exact_match,mean_missed_tile_rate,std_missed_tile_rate,sample_std_missed_tile_rate,var_missed_tile_rate,sample_var_missed_tile_rate,min_missed_tile_rate,max_missed_tile_rate,mean_extra_tile_rate,std_extra_tile_rate,sample_std_extra_tile_rate,var_extra_tile_rate,sample_var_extra_tile_rate,min_extra_tile_rate,max_extra_tile_rate,n_batches_for_inner_batch_std,mean_inner_batch_std_precision,mean_inner_batch_std_recall,mean_inner_batch_std_f1,mean_inner_batch_std_tile_accuracy,mean_inner_batch_std_exact_match,mean_inner_batch_std_missed_tile_rate,mean_inner_batch_std_extra_tile_rate
L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,59,59,0,0.25277627118644064,0.29804356656793757,0.30060192736837266,0.08882996757253664,0.09036151873758037,0.0,0.875,0.1858305084745763,0.24305321190018392,0.2451395438311351,0.0590748638149957,0.060093395949737005,0.0,0.875,0.20892881355932205,0.26161163935831466,0.2638572740176332,0.0684406498477449,0.06962066105201636,0.0,0.875,0.1858305084745763,0.24305321190018392,0.2451395438311351,0.0590748638149957,0.060093395949737005,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8141694915254237,0.24305321190018392,0.2451395438311351,0.0590748638149957,0.060093395949737005,0.125,1.0,0.7472237288135593,0.29804356656793757,0.30060192736837266,0.08882996757253664,0.09036151873758037,0.125,1.0,20,0.056011918049014564,0.05994488206675822,0.056024471210304835,0.05994488206675822,0.0,0.05994488206675823,0.05601191804901458
L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,59,59,0,0.22993898305084748,0.3237956632371243,0.32657507613207737,0.1048436315311692,0.10665128035067212,0.0,1.0,0.17804745762711865,0.288359309969487,0.29083454257914065,0.08315109164607869,0.08458473115721798,0.0,1.0,0.19783559322033897,0.3026915344113692,0.30528979266327166,0.09162216500430911,0.09320185750438341,0.0,0.9863,0.17804745762711865,0.288359309969487,0.29083454257914065,0.08315109164607869,0.08458473115721798,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8219525423728813,0.28835930996948705,0.2908345425791407,0.08315109164607871,0.084584731157218,0.0,1.0,0.7700610169491525,0.3237956632371242,0.3265750761320773,0.10484363153116917,0.10665128035067209,0.0,1.0,20,0.005523445376335589,0.0039833682006842185,0.004061172537539827,0.0039833682006842185,0.0,0.003983368200684225,0.0055234453763356
L2_path_only,L2: No annotations,2.0,4.0,path_only,No annotations,59,59,0,0.11323220338983052,0.2393262650991978,0.24138060548370915,0.0572770611663315,0.058264596703682045,0.0,1.0,0.09120508474576271,0.22002450897665138,0.2219131660122077,0.048410784550416544,0.04924545324956166,0.0,0.9565,0.0999508474576271,0.2286739277030642,0.2306368300379605,0.05229176521114622,0.053193347369959086,0.0,0.9778,0.09120508474576271,0.22002450897665138,0.2219131660122077,0.048410784550416544,0.04924545324956166,0.0,0.9565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9087949152542373,0.2200245089766514,0.22191316601220773,0.04841078455041655,0.049245453249561665,0.0435,1.0,0.8867677966101695,0.2393262650991978,0.24138060548370915,0.0572770611663315,0.058264596703682045,0.0,1.0,20,0.07261894046892119,0.06626716018981929,0.06912787928488907,0.06626716018981929,0.0,0.0662671601898193,0.07261894046892119
L0_grid,L0: Grid,0.0,1.0,grid,Grid,59,59,0,0.9679932203389829,0.08931842648618706,0.09008512232099453,0.007977781309968401,0.008115329263588546,0.6154,1.0,0.9168542372881356,0.10903110164587528,0.10996700809636889,0.011887781126113186,0.012092742869666861,0.5556,1.0,0.9358016949152543,0.08044336989360358,0.08113388358782814,0.006471135759839126,0.006582707066043248,0.7059,1.0,0.9168542372881356,0.10903110164587528,0.10996700809636889,0.011887781126113186,0.012092742869666861,0.5556,1.0,0.4745762711864407,0.49935321568326224,0.503639587998848,0.24935363401321461,0.2536528345996494,0.0,1.0,0.08314576271186441,0.10903110164587528,0.10996700809636889,0.011887781126113186,0.012092742869666861,0.0,0.4444,0.03200677966101695,0.08931842648618703,0.0900851223209945,0.007977781309968396,0.008115329263588541,0.0,0.3846,20,0.012435651258467417,0.02068694405858089,0.015543029201481897,0.02068694405858089,0.11928090415820633,0.020686944058580885,0.012435651258467415
L1_grid,L1: Grid,1.0,2.0,grid,Grid,59,59,0,0.8928847457627118,0.16459109353908855,0.16600391853866844,0.027090228072392992,0.02755730097019287,0.4545,1.0,0.7957050847457627,0.16776215247979456,0.16920219736867853,0.02814413980465384,0.028629383594389247,0.2632,1.0,0.8288661016949153,0.15102780034822583,0.1523242000948674,0.022809396478023557,0.023202661934541204,0.3846,1.0,0.7957050847457627,0.16776215247979456,0.16920219736867853,0.02814413980465384,0.028629383594389247,0.2632,1.0,0.0847457627118644,0.2785029953416099,0.2808936228404366,0.07756391841424877,0.07890122735242547,0.0,1.0,0.2042949152542373,0.16776215247979456,0.16920219736867853,0.02814413980465384,0.028629383594389247,0.0,0.7368,0.10711525423728811,0.16459109353908852,0.16600391853866844,0.02709022807239299,0.027557300970192867,0.0,0.5455,20,0.02431592429181958,0.04246354988576964,0.03312842732054461,0.04246354988576964,0.023570226039551584,0.042463549885769655,0.024315924291819575
L2_grid,L2: Grid,2.0,4.0,grid,Grid,59,59,0,0.7868881355932202,0.23971991289606476,0.24177763229359853,0.05746563663889687,0.05845642347749854,0.1333,1.0,0.5424101694915254,0.27635249517870597,0.2787246631100894,0.0763707015914967,0.07768743782583284,0.0274,1.0,0.5952745762711863,0.2606409307406702,0.26287823298434687,0.06793369477736283,0.06910496537697254,0.0533,1.0,0.5424101694915254,0.27635249517870597,0.2787246631100894,0.0763707015914967,0.07768743782583284,0.0274,1.0,0.03389830508474576,0.1809674280005307,0.182520824972938,0.032749209997127264,0.03331385154880187,0.0,1.0,0.4575898305084746,0.27635249517870597,0.2787246631100895,0.07637070159149671,0.07768743782583286,0.0,0.9726,0.21311186440677968,0.23971991289606476,0.24177763229359853,0.05746563663889687,0.05845642347749854,0.0,0.8667,20,0.08154508676769338,0.0865585643414802,0.07456636402272923,0.0865585643414802,0.023570226039551584,0.08655856434148021,0.0815450867676934
L0_grid_labels,L0: Grid + labels,0.0,1.0,grid_labels,Grid + labels,59,59,0,0.9704677966101695,0.07998006412761208,0.08066660087536542,0.006396810657856939,0.006507100496785507,0.6667,1.0,0.8924542372881357,0.15337690291061484,0.1546934669975944,0.02352447434645217,0.023930068731735827,0.4,1.0,0.9206203389830508,0.11261591810243604,0.11358259607403588,0.012682345010054582,0.01290100613091759,0.5714,1.0,0.8924542372881357,0.15337690291061484,0.1546934669975944,0.02352447434645217,0.023930068731735827,0.4,1.0,0.4406779661016949,0.49646842426701054,0.5007300339703321,0.24648089629416836,0.2507305669199299,0.0,1.0,0.1075457627118644,0.15337690291061484,0.1546934669975944,0.02352447434645217,0.023930068731735827,0.0,0.6,0.029532203389830508,0.07998006412761206,0.08066660087536542,0.0063968106578569375,0.006507100496785506,0.0,0.3333,20,0.012546132718238678,0.02138697977195558,0.008523098313802524,0.02138697977195558,0.07214045207910316,0.021386979771955562,0.012546132718238678
L1_grid_labels,L1: Grid + labels,1.0,2.0,grid_labels,Grid + labels,59,59,0,0.8448813559322035,0.21726039478911974,0.21912532508745192,0.04720207914392417,0.04801590809468149,0.2667,1.0,0.6354355932203389,0.30531821008758836,0.30793901532536566,0.09321920941108874,0.0948264371595558,0.1176,1.0,0.6849169491525424,0.2681720938429576,0.27047404244919276,0.07191627191611606,0.07315620763880773,0.2,1.0,0.6354355932203389,0.30531821008758836,0.30793901532536566,0.09321920941108874,0.0948264371595558,0.1176,1.0,0.0847457627118644,0.2785029953416099,0.2808936228404367,0.07756391841424878,0.07890122735242548,0.0,1.0,0.364564406779661,0.30531821008758836,0.30793901532536566,0.09321920941108874,0.0948264371595558,0.0,0.8824,0.1551186440677966,0.2172603947891197,0.2191253250874519,0.04720207914392416,0.04801590809468147,0.0,0.7333,20,0.057163320246903425,0.05163463812876323,0.048278294058019075,0.05163463812876323,0.07071067811865475,0.05163463812876323,0.057163320246903425
L2_grid_labels,L2: Grid + labels,2.0,4.0,grid_labels,Grid + labels,59,59,0,0.6005186440677965,0.3663844130513401,0.36952940131944717,0.134237538126975,0.13655197843950906,0.0,1.0,0.24973728813559323,0.24674750622839925,0.2488655494219132,0.06088433182993393,0.06193406168907072,0.0,1.0,0.3139745762711866,0.2606435338283215,0.262880858416508,0.06793505172651539,0.06910634572180013,0.0,0.96,0.24973728813559323,0.24674750622839925,0.2488655494219132,0.06088433182993393,0.06193406168907072,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7502627118644069,0.24674750622839925,0.2488655494219132,0.06088433182993393,0.06193406168907072,0.0,1.0,0.39948135593220335,0.3663844130513402,0.3695294013194472,0.13423753812697503,0.1365519784395091,0.0,1.0,20,0.1768583133084143,0.09823186478770991,0.09539755520283799,0.09823186478770991,0.0,0.09823186478770991,0.1768583133084143
