turn_difficulty,turn_difficulty_label,n_runs,n_rows,n_variants,mean_turn_count,mean_precision,std_precision,sample_std_precision,min_precision,max_precision,mean_recall,std_recall,sample_std_recall,min_recall,max_recall,mean_f1,std_f1,sample_std_f1,min_f1,max_f1,mean_tile_accuracy,std_tile_accuracy,sample_std_tile_accuracy,min_tile_accuracy,max_tile_accuracy,mean_exact_match,std_exact_match,sample_std_exact_match,min_exact_match,max_exact_match,mean_missed_tile_rate,std_missed_tile_rate,sample_std_missed_tile_rate,min_missed_tile_rate,max_missed_tile_rate,mean_extra_tile_rate,std_extra_tile_rate,sample_std_extra_tile_rate,min_extra_tile_rate,max_extra_tile_rate,n_batches_for_inner_batch_std,mean_inner_batch_std_precision,mean_inner_batch_std_recall,mean_inner_batch_std_f1,mean_inner_batch_std_tile_accuracy,mean_inner_batch_std_exact_match,mean_inner_batch_std_missed_tile_rate,mean_inner_batch_std_extra_tile_rate
easy,Easy (1 turn),15,135,9,1.0,0.6457325925925926,0.4269758509659455,0.42856608310330846,0.0,1.0,0.4337096296296296,0.35986431637989136,0.36120459780260605,0.0,1.0,0.49304592592592594,0.3779482021659039,0.3793558353516756,0.0,1.0,0.4337096296296296,0.35986431637989136,0.36120459780260605,0.0,1.0,0.044444444444444446,0.20608041101101565,0.20684793847592803,0.0,1.0,0.5662903703703703,0.35986431637989136,0.36120459780260605,0.0,1.0,0.3542674074074074,0.4269758509659455,0.42856608310330846,0.0,1.0,5,0.41837433908543364,0.3413536120467051,0.3580860031799197,0.3413536120467051,0.08314794192830981,0.3413536120467051,0.41837433908543364
medium,Medium (2 turns),12,108,9,2.0,0.6347490740740741,0.4496546134401732,0.4517509167083098,0.0,1.0,0.5632138888888888,0.4395596939316899,0.4416089343828895,0.0,1.0,0.577324074074074,0.43606799543495645,0.4381009574832413,0.0,1.0,0.5632138888888888,0.4395596939316899,0.4416089343828895,0.0,1.0,0.26851851851851855,0.4431888127323822,0.44525497224406724,0.0,1.0,0.43678611111111115,0.4395596939316899,0.4416089343828895,0.0,1.0,0.3652509259259259,0.4496546134401732,0.4517509167083098,0.0,1.0,4,0.4445581958054443,0.435583580045801,0.433058962687746,0.435583580045801,0.4266127106583927,0.435583580045801,0.4445581958054443
hard,Hard (3 turns),15,135,9,3.0,0.5786251851851852,0.34954455101386467,0.35084639742322216,0.0,1.0,0.46841037037037037,0.3504678902762386,0.35177317557743365,0.0,1.0,0.4958096296296296,0.336194086332654,0.3374462101688571,0.0,1.0,0.46841037037037037,0.3504678902762386,0.35177317557743365,0.0,1.0,0.037037037037037035,0.18885257457751053,0.18955593855614655,0.0,1.0,0.5315896296296296,0.3504678902762386,0.35177317557743365,0.0,1.0,0.4213748148148148,0.34954455101386467,0.3508463974232221,0.0,1.0,5,0.32187643115862274,0.31395211277366963,0.30331024359343417,0.31395211277366963,0.1152322161933633,0.31395211277366963,0.32187643115862274
very_hard,Very hard (>3 turns),17,153,9,4.176470588235294,0.6540790849673203,0.39110443344868256,0.3923888521227506,0.0,1.0,0.5369921568627452,0.39170943471618697,0.39299584026347695,0.0,1.0,0.5656045751633987,0.3903990243511912,0.3916811264045815,0.0,1.0,0.5369921568627452,0.39170943471618697,0.39299584026347695,0.0,1.0,0.16993464052287582,0.3755753698969579,0.37680878986707167,0.0,1.0,0.46300784313725485,0.39170943471618697,0.39299584026347695,0.0,1.0,0.34592091503267974,0.39110443344868256,0.3923888521227506,0.0,1.0,6,0.3669686579618578,0.3844623187874556,0.3794651537519007,0.3844623187874556,0.328737492239401,0.3844623187874557,0.3669686579618578
